" ","","WT.","PACK",""," ","","WT.","                   PACK",""
"ORDER QTY","DORITOS","OZ","UPC","CASE","ORDER QTY","SANTITAS","OZ","UPC","CASE"
"","MISC CHIPS","","","","","NAT. LAY'S SEA SALT THICK","8.5","FL-07372","6.0"
"","MUNCHIES CHEESE FIX ","8.0","FL-08404","15.0","","SIMPLY CHEETOS PUFFS WHITE CHED JALAP","7.75","FL-64707","12.0"
"","MUNCHIES FLAMIN' HOT","8.0","FL-08405","15.0","","NAT. NACHOS WHITE CHEDDAR","7.5","FL-63764","7.0"
"","","","","","","SIMPLY SPICY WHITE CHEDDAR NACHOS","7.5","FL-14691","7.0"
"","SMARTFOOD POPCORN ","9.0","FL-63955","8.0","","NAT. BBQ LAYS","8.25","FL-01872","6.0"
"","SMARTFOOD POPCORN SEA SALT","5.5","FL-63980","8.0","","","","",""
"","SMARTFOOD AIR POP DELIGHT","6.5","FL-63978","6.0","","BAKED - REDUCED FAT","","",""
"","SMARTFOOD PARMESAN GARLIC","7.0","FL-63600","10.0","","BAKED LAY'S REG","6.25","FL-18382","8.0"
"","","","","","","BAKED LAY'S BBQ","6.25","FL-18383","8.0"
"","","","","","","BAKED CHEETOS CRUNCHY","7.625","FL-18390","8.0"
"","FUNYUNS ONION FLAVORED ","6.0","FL-24018","12.0","","BAKED RUFFLES CHEDDAR SOUR CREAM","6.25","FL-18477","8.0"
"","PORK RINDS REG","4.0","FL-05790","15.0","","","","",""
"","PORK RINDS HOT ","4.0","FL-05791","15.0","","","","",""
"","","","","","","","","",""
"","PARTY SIZE","","","","","EXTRA EXTRA LARGE VALUE LINE (XXVL)","","",""
"","PS NACHO DORITOS ","15.502","FL-64306","6.0","","XXVL LAYS REGULAR","2.88","FL-42054","20.0"
"","PS COOL RANCH DORITOS","15.502","FL-64305","6.0","","XXVL LAYS BBQ","2.875","FL-42053","20.0"
"","PS FRITOS SCOOPS ","18.0","FL-33728","6.0","","XXVL LAYS SALT & VINEGAR","2.87","FL-42055","20.0"
"","PS RUFFLES ","13.5","FL-03400","9.0","","XXVL CHEETOS PUFFS","3.75","FL-43503","18.0"
"","PS RUFFLES CHEDDAR & SOUR CREAM","13.5","FL-00226","9.0","","XXVL CHEETOS CRUNCHY","3.75","FL-43318","28.0"
"","PS SMARTFOOD","11.5","FL-64029","6.0","","XXVL CHEETOS HOT","3.75","FL-43393","28.0"
"","PS MUNCHIES CHEESE SNACKS","15.5","FL-15474","7.0","","XXVL CHEETOS FLAMIN HOT FRIES","4.375","FL-43774","20.0"
"","PS LAYS  ","15.75","FL-64474","6.0","","XXVL CHEETOS XXTRA FLAMIN HOT","3.75","FL-43330","28.0"
"","PS BBQ LAYS","15.25","FL-64432","8.0","","XXVL RUFFLES CHED & SOUR CREAM","2.625","FL-43143","24.0"
"","PS WAVY LAYS","15.75","FL-64475","8.0","","XXVL DORITOS NACHO","3.4","FL-42073","24.0"
"","PS LAYS SOUR CREAM & ONION","15.25","FL-64476","8.0","","XXVL DORITOS COOL RANCH","3.4","FL-42071","24.0"
"","PS TOSTITO REGULAR","18.0","FL-08313","4.0","","XXVL DORITOS SPICY NACHO","3.12","FL-42075","24.0"
"","PS TOSTITO SCOOPS  ","14.5","FL-08314","5.0","","XXVL FUNYUNS","2.625","FL-28204","24.0"
"","PS CHEETOS  CRUNCHY","17.5","FL-33729","5.0","","XXVL SMARTFOOD","2.4","FL-43789","20.0"
"","PS CHEETOS FLAMIN' HOT","17.5","FL-11541","6.0","","XXVL CRACKER JACKS","4.125","FL-17251","24.0"
"","","","","","","XXVL RUFFLES MOZZARELLA'N MARINARA","2.625","FL-67670","24.0"
"","TUBE SNACK NUTS"," "," "," ","","XXVL NAT. WHITE CHEDDAR CHEETO PUFFS","2.75","FL-06643","18.0"
"","2/$1 SALTED PEANUTS ","1.6","FL-04176","16.0","","XXVL MUNCHIES","3.25","FL-43618","28.0"
"","2/$1 HONEY ROASTED PEANUTS ","1.4","FL-04177","16.0","","XXVL LAY'S SCO","2.75","FL-42061","20.0"
"","2/$1 HOT PEANUTS ","1.6","FL-04179","16.0","","XXVL DORITOS FLAMIN' HOT NACHOS","3.12","FL-19957","24.0"
"","$.99 SUNFLOWER SEEDS","3.75","FL-65500","24.0","","","","",""
"","$1.99 PREMIUM ALMONDS","2.5","FL-03495","8.0","","","","",""
"","$1.99 PREMIUM CASHEWS","2.25","FL-03422","8.0","","DIPS/SALSA","","",""
"","$1.99 PISTACHIOS","1.75","FL-45958","8.0","","FRITOS MILD CHED. CHEESE DIP - CAN","9.0","FL-00022","24.0"
"","PREMIUM MIXED NUTS","2.25","FL-03402","8.0","","FRITOS CHED. & JAL. CHEESE DIP - CAN","9.0","FL-00024","24.0"
"","PREMIUM TRAIL NUT/FRUIT","3.0","FL-03436","8.0","","FRITOS BEAN DIP - CAN","9.0","FL-00078","24.0"
"","PREMIUM TRAIL NUT/CHOCOLATE","3.0","FL-03482","8.0","","FRITOS JALAPENO HOT BEAN DIP - CAN","9.0","FL-00088","24.0"
"","DORITOS CRUNCH NUTS NACHO CHEESE","3.0","FL-67054","6.0","","","","",""
"","DORITOS CRUNCH NUTS COOL RANCH","3.0","FL-67055","6.0","","TOSTITOS SALSA MILD ","15.5","FL-05597","12.0"
"","DORITOS CRUNCH MIX NACHO CHEESE","3.0","FL-67056","6.0","","TOSTITOS SALSA MEDIUM ","15.5","FL-05598","12.0"
"","DORITOS CRUNCH MIX COOL RANCH","3.0","FL-67057","6.0","","TOSTITOS SALSA RESTAURANT STYLE - JAR","15.5","FL-08936","12.0"
"","","","","","","","","",""
"","NATURAL SALTED CASHEWS ","4.75","FL-03561","12.0","","TOSTITOS CON QUESO DIP - JAR","15.0","FL-07098","12.0"
"","NAT. NUT HARVEST & FRUIT TRAIL MIX  ","4.75","FL-03535","12.0","","TOSTITOS QUESO BLANCO DIP","15.0","FL-21573","12.0"
"","MATADOR JERKY","","","","","TOSTITOS SMOOTH & CHEESY DIP - JAR","15.0","FL-09058","12.0"
"","ORIGINAL BEEF JERKY ","3.0","FL-05705","12.0","","TOSTITOS CREAMY SPINACH DIP - JAR","15.0","FL-07103","12.0"
"","TERIYAKI BEEF JERKY ","3.0","FL-05815","12.0","","TOSTITOS HABENERO HOT SALSA","15.5","FL-58925","12.0"
"","","","","","","TOSTITOS FIESTA BEAN & CHEESE DIP - JAR","15.75","FL-08536","12.0"
"","GRANDMA'S BIG COOKIES","","","","","CANTINA ROASTED GARLIC","15.5","FL-14343","12.0"
"","CHOCOLATE BROWNIE","2.5","FL-07914","5.0","","LAYS FRENCH ONION - JAR","15.0","FL-07094","12.0"
"","PEANUT BUTTER COOKIE","2.5","FL-07915","5.0","","LAYS RANCH DIP - JAR","15.0","FL-07095","12.0"
"","CHOCOLATE CHIP COOKIE","2.5","FL-07916","5.0","","","","",""
"","OATMEAL RAISIN COOKIE","2.5","FL-07917","5.0","","TOSTITOS SALSA MILD CHUNKY - LG JAR","24.0","FL-03281","12.0"
"","","","","","","TOSTITOS SALSA MEDIUM DIP - LG JAR","24.0","FL-03282","12.0"
"","DISPLAY SUPPLIES","","","","","TOSTITOS CON QUESO DIP - LG JAR","23.0","FL-06740","12.0"
